dataset,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
bci_competition_iv_2a_proxy,1960,6.037134891790708e-07,1.5417338845899698e-07,5.854706886851382e-07,2.1068211773232226e-06,,11.367961760344189
bci_competition_proxy,1895,8.335086485774192e-06,1.160860981587889e-06,8.06643981149252e-06,1.0166668922278204e-05,8.584284439852815e-06,49.476100084040716
bci_competition_proxy_s2,14,4.529295366383872e-06,7.501854703953562e-07,4.299893511938726e-06,5.523650550505671e-06,4.529295366383872e-06,-1.1511414063714989
bci_iv2a_real_s1,1173,6.026097634916725e-06,4.964750834731342e-06,4.454840491799747e-06,1.6124493207737258e-05,7.287513413949179e-05,11.986524220001769
bci_iv2a_real_s2,425,3.214031400561089e-06,4.440638975104509e-06,1.2221919789033778e-06,5.408968317345229e-06,3.9694942546973484e-05,18.266562636894108
bci_iv2a_real_s3,196,1.6756539867466003e-06,1.5458951699051934e-06,1.0286616470501997e-06,2.8248752632246094e-06,2.059786697109745e-05,11.678836957356745
iris_graph_signal,1341,0.2564978828154085,0.17765925934772678,0.1648429298958598,0.47367067508163246,2.9044732458925515,8.562578124672605
iv100hz_mat,1587,105.57826907289314,76.64021834503635,75.35154784612389,188.90076331458744,1103.2766324137608,9.497078762657747
mne_sample,12880,9.907247849653153e-06,5.5885032000706685e-06,8.926092281551872e-06,1.9635189925087373e-05,7.266854695426784e-05,6.353920562018829
mne_sample_proxy,2723,1.7243457518421504e-06,7.597765805281528e-07,1.928545297066883e-06,2.19645694548763e-06,2.1246119289488938e-06,46.82163754333883
movielens_graph_signal,1177,0.0800342942030214,0.049217765796210074,0.0652291631919668,0.5723817646855929,3.800468197920496,-inf
physionet_eegmmidb,14963,1.3531356039586695e-05,9.401701820498821e-06,1.1154533255271536e-05,2.6649201423537583e-05,9.462320111329407e-05,5.593175101879676
physionet_eegmmidb_real,1670,1.011265890344623e-05,9.68457526532777e-06,6.5032181972859444e-06,1.7459875555972955e-05,0.00011968253043133356,11.555482565177405
synthetic,13232,0.2676265572330431,0.17117529361767142,0.2307824215776189,0.45479465371908356,1.8418878120107292,0.8591519651535497
synthetic_16ch,2175,0.5509962042207746,0.10212556653835603,0.5301163212117002,0.673649912724818,0.5665311408490369,2.4602807046186013
synthetic_32ch,762,0.4965219645627065,0.21268324438961486,0.4667103195622688,0.6084561241744696,0.5107402124915933,3.0355177131480833
synthetic_8ch,20,0.4546624328405005,0.10010317641553249,0.4085775189158436,0.540335979662915,0.4546624328405005,2.4930226791458545
synthetic_alpha,11584,0.2802181314562039,0.19156820722970586,0.2574758606512886,0.5083222296346691,,0.9766424222726823
synthetic_beta,11248,0.2748533333023886,0.1921938087097765,0.2415371742114136,0.490059838004598,,0.9220477227402003
synthetic_broad,12252,0.25629398456207125,0.18145808745099587,0.2316212739503527,0.4576984123975826,,1.2925738899025536
