graph,count,mean_mae,std_mae,median_mae,mean_rmse,mean_dtw,mean_snr
aew,4568,0.11503929823975731,0.1589105777771321,1.9392027167944252e-05,0.21172233307074403,0.7599527306520527,4.885175841368928
aew__k4_sigma_corr0_5_sigma_dist1,4282,0.20196082818153213,0.1321489712215112,0.2019202316948072,0.4005572410097846,,3.695580400589345
gaussian,6095,0.16556665484181682,0.2275389375059279,1.857579601638174e-05,0.23345432814129274,0.6628385125044702,16.226735971313836
gaussian__sigma1,7473,0.1642297397338408,0.1841907509906454,0.1076814030559054,0.2823496676557013,,2.4895178438517496
gaussian__sigma1.0,1720,33.92226646213053,71.3923529706518,0.1153110587747806,57.47260423317016,333.8977680165939,-inf
kalofolias,12392,0.21339342920912938,0.2958686253263403,0.09983730149767689,0.3469838603187482,0.9100736471475255,3.710147637122485
knn,2768,0.12990827377881714,0.16828283926987114,0.04939746584591155,0.2238840601427256,0.8728561455412163,4.147283538900264
knn__k3,22802,4.548209743415152,25.272699024698582,1.971940869320998e-05,8.395969322149865,117.27419930270246,-inf
knn__k5,5318,1.7258959750338105,15.120410353883068,0.2131381235270164,3.0325832385443205,283.31271055612893,-inf
knng,4568,0.13152354860392734,0.17598426153894992,1.9614619826882574e-05,0.22213872046624053,0.9090613924325129,3.9037135953777162
knng__k3,16,4.3808709423463015e-06,2.9004075573025678e-06,4.196096965352374e-06,5.0311858924851e-06,4.3808709423463015e-06,-0.8881768267087667
knng__k4_sigma1,4618,0.22991031142427126,0.15358302999447018,0.2125037819008306,0.4158353621823612,,1.3963833355454336
nnk,2328,0.12100569572188417,0.16744445925543197,2.025317929826501e-05,0.22107291697923928,0.7630244616274483,4.954316880420295
nnk__k4,5143,0.21276754730489683,0.13931929921701383,0.2077576604014517,0.40718711885197334,,2.520379832747661
vknng,4568,0.1330325950246302,0.17841249309568072,1.964808030657134e-05,0.22317087937565708,0.9253446969767889,3.8581435619516133
vknng__alpha1_k4_k_max8_k_min2,4618,0.2352347808803326,0.15954735010306542,0.2141590238237682,0.4196156305843277,,1.1501668812711197
