method,bci_competition_iv_2a_proxy,bci_competition_proxy,bci_iv2a_real_s1,bci_iv2a_real_s2,bci_iv2a_real_s3,iris_graph_signal,iv100hz_mat,mne_sample,mne_sample_proxy,movielens_graph_signal,physionet_eegmmidb,physionet_eegmmidb_real,synthetic,synthetic_16ch,synthetic_32ch,synthetic_alpha,synthetic_beta,synthetic_broad
spline_temporal,,,,,,,,,,,1.1765175266851396e-05,,,,,,,
gsmooth,6.52159089145012e-07,,,,,,,5.74783348428781e-06,2.394876528469709e-07,,7.385775116119576e-06,,0.1472227887964675,,,0.17001493224730208,0.17001345884526353,0.16097285707650164
idw,6.548244627310017e-07,,,,,,,5.9112600381933985e-06,2.4962503266074936e-07,,7.1452832644516704e-06,,0.1552635518856094,,,0.17046802637242303,0.17064833097464177,0.16349468252437585
directed_tv,4.45247746276174e-07,,,,,,,,1.7200117023887493e-07,,9.631615136998908e-06,,,,,0.18463596108170088,0.17163156478256555,0.16301001331654813
wavelet_temporal,4.681135537854246e-07,,,,,,,,1.850475017929841e-07,,1.033927305575314e-05,,,,,0.1774092908897435,0.19057648035446867,0.17984600349995686
linear,6.431644368249269e-07,,,,,,,7.640171861636284e-06,2.547219355008847e-07,,7.713737148196562e-06,,0.18053238348613934,,,0.20562909306360763,0.1949349833127706,0.1832382704288029
spherical_spline,6.632205016922655e-07,,,,,,,9.619088034436002e-06,2.47537272401228e-07,,1.2615187844784338e-05,,0.14253480546427905,,,0.2884086903239835,0.2643550816160398,0.1608636840278589
rbfi_tps,6.651795612369167e-07,,,,,,,7.770913761994513e-06,2.4619169328880643e-07,,8.742089457191287e-06,,0.283898458746821,,,0.2316028943029624,0.21286206859132387,0.1999488674055933
gsp,,,,,,,,6.08528141107896e-06,,,7.534605765810917e-06,,0.1624128902381981,,,0.1976975915678175,0.17746973741200742,0.16969493590272713
rbfi_mq,7.049090479559519e-07,,,,,,,9.749111967564514e-06,2.7376221029804295e-07,,9.819159332239131e-06,,0.36094642039253905,,,0.23786428329977713,0.2155958847898101,0.22665328482809613
spline_surface,6.502953015063638e-07,,,,,,,,2.5614324262087793e-07,,1.306537504805099e-05,,,,,0.34028507728900154,0.31944588190064915,0.19995935633826376
heat_diffusion_temporal,4.496627926263779e-07,,,,,,,,1.6452835724169198e-07,,8.743633670821711e-06,,,,,0.34114800076651686,0.3356767669919719,0.3166930183756876
puy,6.57370626881134e-07,,,,,,,,2.5644593814665135e-07,,2.0647225254515267e-05,,,,,0.42756317492406926,0.40997766437105326,0.4043001808602071
bgsrp,6.628050113593393e-07,,,,,,,1.849852423401281e-05,2.4142497191783445e-07,,2.3832674061232515e-05,,0.5355629679514555,,,0.5364025359935808,0.49658254109128575,0.47720863866670254
sobolev,6.540606372001497e-07,,,,,,,,2.502608211774435e-07,,2.856372606516381e-05,,,,,0.5455829489849685,0.5497427771223846,0.5328580279431627
trss,4.3981660011518767e-07,7.441607269938767e-06,2.5078948988429774e-06,7.887053709735375e-07,5.799044914896939e-07,0.13152010734614827,47.66596626935445,6.342800783809929e-06,1.4242382344218847e-06,0.061475910192292,8.983597187475603e-06,3.612248040961581e-06,0.15593259527760603,0.4990075814387549,0.42534798159692194,0.18618444363128303,0.17337587958582956,0.1638045818070352
tv,4.5439168984242193e-07,7.581432048716475e-06,3.4341894999319414e-06,9.645089961961252e-07,6.353485480359234e-07,0.1546472560847375,49.34601796556622,5.678578378804763e-06,1.4373519375813077e-06,0.04957373495912061,9.355708825511815e-06,5.6639503877572365e-06,0.14646689356787299,0.5033651057586223,0.4295822948545569,0.16658026783096383,0.17000669074651928,0.16116180711400283
mean,6.501184124905442e-07,8.544967384129982e-06,3.4336008470563737e-06,9.645102721767913e-07,6.35325278638967e-07,0.1584944436463555,57.92008582072441,,1.6565093150500977e-06,0.04954443946971235,9.736331861988683e-06,5.725656263301919e-06,,0.5666223323698684,0.4991543881768761,0.16233669616074137,0.1705281908918805,0.16095201662813446
nearest,6.748233925510356e-07,1.0658035500284678e-05,2.834404761408582e-06,7.294172357629846e-07,5.593619362673775e-07,0.16307728124456147,76.2766337283025,,2.042400027117303e-06,0.04298401612406516,1.1084882252569245e-05,5.5244651534818604e-06,,0.7100896566202857,0.6212897668126781,0.21480902409188282,0.21993869046987843,0.20011648271827773
tikhonov,6.60660079422902e-07,9.408559622560671e-06,8.633464884638433e-06,2.4929531387745466e-06,1.4625165799238363e-06,0.2574230484499631,134.19787780495147,1.4419740131669767e-05,1.8189812773238205e-06,0.10381419183541621,1.3949990785122177e-05,1.1766135006471447e-05,0.3850099166728196,0.6268560686145318,0.5481622430489698,0.29031539051008903,0.28369194207928566,0.2751738476640343
graph_time_tikhonov,4.888082178735218e-07,7.667678085275783e-06,1.1585701620159852e-05,4.99497300006279e-06,2.5156360808432007e-06,0.37743490604449115,190.73057633755667,1.496728918561902e-05,1.456750241879433e-06,0.15701159899753556,2.0588851969855504e-05,1.6371972881251434e-05,0.4093777631653608,0.5066767456909345,0.43601589161917254,0.4079716667949852,0.4114044442652622,0.40359087991778886
temporal_laplacian,4.5911898997099546e-07,8.167144077514218e-06,1.6915274715058515e-05,1.5153370155109365e-05,5.006554803189357e-06,0.5940845880913136,236.1945152706201,,1.55200684531384e-06,0.15011628835007504,2.7958090169670652e-05,3.355687223335156e-05,,0.5445927125183543,0.46293478029179447,0.4569660207574639,0.4661621589855284,0.44542083241263025
