dataset,graph,missing_ratio,best_method,best_mean,best_n,second_method,second_mean,second_n
mne_sample_proxy,knn__k3,0.1,directed_tv,1.2268993918150853e-07,4,heat_diffusion_temporal,1.3354704124313293e-07,4
mne_sample_proxy,gaussian__sigma1,0.1,temporal_laplacian,1.2986988495039565e-07,1,heat_diffusion_temporal,1.3135720400568118e-07,1
bci_iv2a_real_s3,knn__k3,0.05,trss,1.3030788288723665e-07,6,directed_tv,2.645105494905346e-07,6
mne_sample_proxy,kalofolias,0.1,heat_diffusion_temporal,1.3490296083348374e-07,1,directed_tv,1.5846363404799784e-07,1
bci_iv2a_real_s2,knn__k3,0.05,trss,1.4598935177926846e-07,6,heat_diffusion_temporal,3.79905350236785e-07,6
mne_sample_proxy,knn__k3,0.2,directed_tv,1.4797358100319365e-07,4,heat_diffusion_temporal,1.5271498351782318e-07,4
mne_sample_proxy,gaussian__sigma1,0.2,tv,1.4943580615213736e-07,1,heat_diffusion_temporal,1.5139328725254146e-07,1
mne_sample_proxy,kalofolias,0.2,heat_diffusion_temporal,1.6253508897859757e-07,1,wavelet_temporal,1.7662207274275104e-07,1
mne_sample_proxy,gaussian__sigma1,0.3,temporal_laplacian,1.707007133913716e-07,1,tv,1.814932506663923e-07,1
mne_sample_proxy,knn__k3,0.3,heat_diffusion_temporal,1.77646977063599e-07,6,directed_tv,1.8655322009146566e-07,6
mne_sample_proxy,kalofolias,0.3,heat_diffusion_temporal,1.8506380365366077e-07,1,wavelet_temporal,1.8692446876421654e-07,1
mne_sample_proxy,knn__k3,0.4,directed_tv,2.007882049976141e-07,5,heat_diffusion_temporal,2.1327586630008985e-07,5
bci_iv2a_real_s3,kalofolias,0.1,trss,2.1325629262703886e-07,6,tv,2.962327241910596e-07,6
bci_iv2a_real_s3,gaussian__sigma1.0,0.1,trss,2.1325629437398725e-07,6,tv,2.962327243614711e-07,6
bci_iv2a_real_s3,knn__k3,0.1,sobolev_temporal,2.44826473581285e-07,8,nearest,2.533999356356534e-07,11
bci_iv2a_real_s2,gaussian__sigma1.0,0.1,trss,2.470928226718505e-07,10,nearest,3.2824198404947914e-07,4
bci_iv2a_real_s2,kalofolias,0.1,trss,2.4736014428202317e-07,6,tv,3.47457172014891e-07,6
bci_iv2a_real_s2,knn__k3,0.1,sobolev_temporal,2.667546028479057e-07,8,trss,2.921857494533082e-07,41
bci_competition_iv_2a_proxy,kalofolias,0.1,heat_diffusion_temporal,3.069541893373624e-07,1,trss,3.254412053207441e-07,1
bci_competition_iv_2a_proxy,kalofolias,0.2,trss,3.414203342271202e-07,1,tv,3.525299377087686e-07,1
