method,family,mae_mean,mae_std,rmse_mean,snr_mean,n_runs,rank
mean,instant,0.12502864789391646,0.09531641698592636,0.27296395159525316,0.3452477111314432,128,1
gsmooth,instant,0.126213704789655,0.09598303854299965,0.27681803743587896,0.33583301838212487,128,2
tv,tv_time,0.12644779193001923,0.09627456386204788,0.2779353701803508,0.23760454771355924,128,3
idw,instant,0.12686435897930176,0.0966667013369965,0.2793252606360038,0.285004743463877,128,4
trss,tv_time,0.13031966019914856,0.09978481237245487,0.28923938994859766,0.019624078940516175,128,5
directed_tv,tv_time,0.13103945117117005,0.09964386388809354,0.29123532398037916,-0.39184550550121944,128,6
gsp,instant,0.1339025268756914,0.10298705131340069,0.30121157629354256,-0.2716343282274792,128,7
wavelet_temporal,tv_time,0.13812004083508975,0.1001872708352197,0.27209253871244043,17.923886975744857,128,8
linear,instant,0.14643249118399504,0.11170884959502791,0.33591819452187555,-0.6265945032701017,128,9
nearest,instant,0.16341527133548997,0.12374042568694173,0.38212658007824535,-1.5745613664361633,128,10
rbfi_tps,instant,0.16641548800029377,0.1321374381415045,0.38979392614364705,-2.0054314656130634,128,11
rbfi_mq,instant,0.17383197757273788,0.13265691575542557,0.4128295046593391,-2.7580934503536225,128,12
spherical_spline,instant,0.18588217209617844,0.1599789776925333,0.43865471192484556,-3.043018546616886,128,13
tikhonov,instant,0.21298820803156804,0.17067504240140285,0.33127209170293004,12.946175407826516,128,14
spline_surface,instant,0.23215884467847403,0.19936740484948734,0.6156071199338318,-4.974035918492852,128,15
heat_diffusion_temporal,tv_time,0.2469495774818682,0.45138019612329566,0.5005655877263908,-1.2511667019015527,128,16
graph_time_tikhonov,tv_time,0.30738247129843665,0.20136648847024738,0.38365035915087947,5.318496011371164,128,17
puy,instant,0.3118819715255534,0.2141819369558848,0.4110107186919734,6.697565817768217,128,18
temporal_laplacian,tv_time,0.3455844408624147,0.21265503497229662,0.4037651798078454,3.2495287843867713,128,19
bgsrp,instant,0.382009445424744,0.22593055660837189,0.47621884200764963,2.8818270137995325,128,20
sobolev,instant,0.41030096108257536,0.24511246082949664,0.4656931593497917,1.9821264398716323,128,21
spline_temporal,tv_time,,,,,0,22
