method,mae_mean,mae_std,mae_median
bgsrp,5.518170382939069e-07,2.7665325552881996e-07,5.425695260876958e-07
directed_tv,3.688079610341075e-07,1.868794120843449e-07,3.5762901150167e-07
graph_time_tikhonov,3.6657803472044954e-07,1.8970949672474724e-07,3.4928864059761194e-07
gsmooth,5.155601469369951e-07,2.5727302350379607e-07,5.143610909521171e-07
heat_diffusion_temporal,3.832883036929704e-07,2.1000761967014081e-07,3.534849221327376e-07
idw,5.129516083165071e-07,2.636330348018931e-07,4.912437643219967e-07
linear,5.171108374130911e-07,2.6648152981701577e-07,4.942295653476768e-07
mean,4.844943775811432e-07,2.4187918287446563e-07,4.817627287956806e-07
nearest,5.667948632468481e-07,2.839280797074675e-07,5.581627147167764e-07
puy,5.008186925505488e-07,2.5079875050840883e-07,4.935062893476008e-07
rbfi_mq,5.376417865970545e-07,2.682760845481707e-07,5.369016772223233e-07
rbfi_tps,5.217549989771538e-07,2.60341710026921e-07,5.214706253866131e-07
sobolev,4.866619885978489e-07,2.429444871330159e-07,4.841002832310924e-07
spherical_spline,4.958441946456248e-07,2.474120559599363e-07,4.956930795399225e-07
spline_surface,4.905361891713288e-07,2.485086287877924e-07,4.757703327436687e-07
temporal_laplacian,3.708671008258936e-07,1.881769652448829e-07,3.591347119866492e-07
tikhonov,5.586428540541199e-07,2.7882080664858686e-07,5.564294248579924e-07
trss,3.919294567870632e-07,1.9674801768047873e-07,3.845171338371489e-07
tv,3.5357173148106166e-07,1.767762668823056e-07,3.4972845689143924e-07
wavelet_temporal,3.8653669665447086e-07,2.0482408661607724e-07,3.6285103619686914e-07
