dataset,missing_ratio,method,family,best_mae,best_dtw,best_rmse,best_snr
synthetic_alpha,0.1,trss,tv_time,0.016658454868917642,0.5097229558467016,0.08554295731227259,20.382030607274878
synthetic_alpha,0.2,trss,tv_time,0.04898803986281374,0.9920564199685241,0.1490071200720766,14.104293943761158
synthetic_alpha,0.3,trss,tv_time,0.08587328957018,1.3482503611797854,0.20406959186314327,11.241913913756392
synthetic_alpha,0.4,trss,tv_time,0.1436336180518029,1.788641033443443,0.28279830703828057,8.172532171383375
synthetic_beta,0.1,trss,tv_time,0.025776915175136066,1.0364026421459511,0.12896263780873352,16.318279112795086
synthetic_beta,0.2,trss,tv_time,0.07909838828021937,1.9721342325484748,0.2307376645388747,10.05445901999696
synthetic_beta,0.3,trss,tv_time,0.13576450623901104,2.4531099132993774,0.31104748527537557,7.37201627341345
synthetic_beta,0.4,trss,tv_time,0.20808993266429085,3.094993953609102,0.401516267328878,5.198582783685772
synthetic_broad,0.1,trss,tv_time,0.03611829471409118,1.1100642132741327,0.17076761708124766,14.374356094518411
synthetic_broad,0.2,trss,tv_time,0.11365862401656512,2.1495466023748615,0.30911558592303173,8.263760325430653
synthetic_broad,0.3,trss,tv_time,0.14229622372985312,2.4093849672382253,0.3418371412367808,6.8925123554851
synthetic_broad,0.4,trss,tv_time,0.22724501645781406,3.0314243201780116,0.4381002643254873,4.797459013528693
